Project Description,Location,Contractor,Cost,Completion Date
"Construction of Concrete Revetment, Makar River, (Downstream of Upper Makar Bridge), General Santos City",SOUTH COTABATO,MJ TIONGSON CONSTRUCTION (FORMERLY: MJT BUILDERS) / REYDAN BUILDERS,51143542.75,09/23/2023
"Rehabilitation of Iponan Flood Control Works, Revetment (Iponan Bridge I & II - Iponan Bridge III), along Iponan River, Bulua Side, Sta. 1+088.00 - Sta. 1+441.00 with exception, Brgy. Iponan, Cagayan de Oro City",MISAMIS ORIENTAL,ESR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: ESR CONSTRUCTION & SUPPLIES),24500000.0,09/23/2023
"Construction of Flood Control Structure at Piacan River, Sirawai, Zamboanga del Norte",ZAMBOANGA DEL NORTE,LONG ISLAND BUILDERS & CONSTRUCTION,39200000.0,09/23/2023
"Rehabilitation of Drainage System at Marang Road, Barangay Maly, San Mateo, Rizal",RIZAL,22 PRIME CONSTRUCTION AND REALTY DEVELOPMENT INC.,4950000.0,09/23/2023
"Improvement/Rehabilitation/Construction of Drainage Magalang, Pampanga",PAMPANGA,CMDV CONSTRUCTION,19583561.5,09/23/2023
"Construction of Retaining Wall and Road Concreting of Diajan, Barangay San Antonio, Basco, Batanes",BATANES,R.L. PACANA'S CONSTRUCTION & DEVELOPMENT,5899148.0,09/23/2023
"Rehabilitation of Estero de Vitas, (Phase I), Tondo, Manila",CITY OF MANILA,LE BRON CONSTRUCTION,38592779.28,09/23/2023
"Proposed Construction of Box Culvert with Revetment Wall/Sheetpiling along Coastal Road (North Side), District I, Parañaque City",PARAÑAQUE CITY,J.H. PAJARA CONSTRUCTION CORPORATION,96500000.0,09/23/2023
"Construction of Kabacan River Flood Control Project (Plang to Pulangi River Section-Phase IV), USM, Kabacan, North Cotabato",COTABATO (NORTH COTABATO),BETTER WORK CONSTRUCTION,40070140.29,09/22/2023
"Construction of Siaton River Control (Downstream A), Siaton, Negros Oriental",NEGROS ORIENTAL,JANUARY BUILDERS,49000000.0,09/22/2023
"Construction of Drainage System in Jaro District, Iloilo City",ILOILO,ABELARDE BUILDERS AND SUPPLY,9849144.79,09/22/2023
"Construction of River Control Structure along Panay River Basin, Brgy. Sto. Niño, Sta. 0 + 000 - Sta. 0 + -291, Dumalag, Capiz",CAPIZ,"WOODLAND CONSTRUCTION & SUPPLY, INC.",44099458.65,09/22/2023
"Construction of Flood Control / Revetment Wall along Aklan River, Barangay Tinigaw, Kalibo, Aklan",AKLAN,S.T. SALCEDO CONSTRUCTION CORP.(FORMERLY: SHAK CONSTRUCTION & SUPPLY),48999994.3,09/22/2023
"Construction of Bank Protection Structure along Pawili River, Brgy. Fabrica Section, Bula, Camarines Sur",CAMARINES SUR,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,72319240.89,09/22/2023
"Construction of Road Dike along Barangay Taysan to Makabalo River, Legazpi City",ALBAY,ALRO CONSTRUCTION & DEVELOPMENT CORP.,49410453.64,09/22/2023
"Construction of Breakwater at Brgy. Kasile, Binangonan, Rizal",RIZAL,FLAG CONSTRUCTION CORPORATION(FOR. FLAG CONSTRUCTI,9799998.77,09/22/2023
"Construction of Slope Protection along Sto. Domingo River, Barangay Sto. Domingo, Santa Rosa City, Laguna",LAGUNA,LE BRON CONSTRUCTION,9899592.24,09/22/2023
"Construction of Slope Protection along Sta. Catalina, Lubao, Pampanga",PAMPANGA,RGZAMORA CONSTRUCTION AND TRADING,19593827.54,09/22/2023
"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Pambuan, Gapan City, Nueva Ecija",NUEVA ECIJA,"R.A. PAHATI CONST. & SUPPLY, INC.",96499930.51,09/22/2023
"Construction of Slope Protection at Sitio Paagan West, Paagan, Santol, La Union",LA UNION,ARM-ASIA CONSTRUCTION & ENGINEERING,14690943.27,09/22/2023
"Construction of Slope Protection, Barangay Bacsil, City of San Fernando, La Union",LA UNION,FABRO CONSTRUCTION,4949512.1,09/22/2023
"Construction of Takino Pumping Station, Bangkulasi, Navotas City",NAVOTAS CITY,WAY MAKER GENERAL CONTRACTOR OPC,19799964.89,09/22/2023
"Construction of Drainage, Barangay 28, Cagayan de Oro City, Misamis Oriental",MISAMIS ORIENTAL,BLACK ROAD CONSTRUCTION,4687588.04,09/21/2023
"Construction of Flood Control Structure along Bateria River (Upstream), Guihulngan City, Negros Oriental",NEGROS ORIENTAL,JAIME B. CHING ENTERPRISES,49000000.0,09/21/2023
"Construction of Flood Mitigation Structure along Tejero Creek, Cebu City",CEBU,FLUSSKREBS CONSTRUCTORS,43978839.53,09/21/2023
"Construction of Storm Surge Protection Structures at Brgy. Legaspi, Alegria, Cebu (Package 3)",CEBU,QM BUILDERS,96493822.06,09/21/2023
"Construction of Flood Control Project, Brgy. Caubian, Olango Island, Lapu-Lapu City, Cebu",CEBU,FLORIANE CONSTRUCTION CORPORATION (FORMERLY: FLORIANE CONSTRUCTION & SUPPLY),17752004.0,09/21/2023
"Rehabilitation of Drainage, Brgy. San Jose Jaro, Iloilo City",ILOILO,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",4929675.72,09/21/2023
"Construction of Flood Control Structure, Calawis River (Upstream) Phase 2, Barangay Calawis, Antipolo City",RIZAL,1C4M BUILDERS INC. / GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,48999996.22,09/21/2023
"Construction of Revetment along Julian River, Barangay Malagasang I-A, West Side, Imus, Cavite",CAVITE,FROMARC BUILDERS & GEN. MERCHANDISE,49000000.0,09/21/2023
"Construction of Groundsill with Slope Protection along Abacan River, Downstream of NLEX Bridge, Angeles City, Pampanga",PAMPANGA,GCLT CONSTRUCTION INCORPORATED (FORMERLY: GCLT CONSTRUCTION),48990187.47,09/21/2023
"Construction / Maintenance of Flood Mitigation Structures along Quitangil River, San Agustin, Magalang, Pampanga - Phase 1",PAMPANGA,3-SIDES BUILDERS & TRADING CORP.,44085596.84,09/21/2023
"Construction of Concrete Slope Protection at Barangay Pagala, K002 + 360 - K002 + 660, Baliuag, Bulacan",BULACAN,DMLC BUILDERS,38599392.15,09/21/2023
"Construction of Flood Control Structure (riprapping) Barangay Igulot, Bocaue, Bulacan",BULACAN,RVR3 CONSTRUCTION SUPPLY AND SERVICES,4949455.31,09/21/2023
"Rehabilitation of Pinacanauan River Control, Barangay Yeban Sur, Maluno Norte, Sta 0+236.8 - Sta 0+593, Benito Soliven, Isabela",ISABELA,ROAD EDGE TRADING & DEVELOPMENT SERVICES,43115610.44,09/21/2023
"Construction of Flood Control Structure at Lumban Creek, Barangay Matandang Balara, Quezon City (Phase III)",QUEZON CITY,IM CONSTRUCTION CORPORATION,48997299.9,09/21/2023
"Rehabilitation of Flood Mitigation Structure along San Juan River, Quezon City (Phase XVI)",QUEZON CITY,LARSEN-DUTCHER CONSTRACTOR CORPORATION (FORMERLY:LARSEN-DUTCHER CONSTRACTOR),41285159.32,09/21/2023
"Rehabilitation of Ocoy River Control, Magatas, Sibulan, Negros Oriental",NEGROS ORIENTAL,PHILSOUTH BUILDERS INC (FORMERLY:PHILSOUTH BUILDERS),49000000.0,09/20/2023
"Construction of Seawall with breakwater, Brgy. 6A, Victorias City, Negros Occidental",NEGROS OCCIDENTAL,R.A.G. CORONA CONSTRUCTION AND AGGREGATES SUPPLY,29399997.54,09/20/2023
"Construction/Rehabilitation/Improvement of Drainage System, Hilado St., Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,ROCK-WILLIAN CONSTRUCTION AND SUPPLY,19600000.0,09/20/2023
"Construction of Flood Control/Slope Protection along Suage River, Brgy. Calmay, Janiuay, Iloilo",ILOILO,J.C. ALBASON BUILDERS AND SUPPLY,18619962.5,09/20/2023
"Construction/ Rehabilitation of Flood Protection Measures along Hibago River Flood Mitigation Structure, Right Side, Downstream of Hibago Bridge, Brgy. Hibago, Ocampo, Camarines Sur",CAMARINES SUR,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,57067962.0,09/20/2023
"Construction of Flood Mitigation Structure, Talisay, Camarines Norte",CAMARINES NORTE,128 DRAGON CONSTRUCTION AND SUPPLIES,6929991.41,09/20/2023
"Construction of River Bank Protection Works and Drainage System in Brgy. 15 - 18, Legazpi City, Albay",ALBAY,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,34299587.13,09/20/2023
"Construction of River Dike at Bagong San Roque, Sto. Domingo, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,96500000.0,09/20/2023
"Construction of Maidlang River Control, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,E E CONSTRUCTION,33774891.8,09/20/2023
"Construction of Busuanga Flood Control Structure (San Agustin Section), Sta. 0 + 000 - Sta. 0 + 330, San Jose, Occidental Mindoro",OCCIDENTAL MINDORO,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES / R.M.A.J. CONSTRUCTION,45077987.54,09/20/2023
"Construction of Revetment along Malaking Ilog River, San Juan, Batangas",BATANGAS,V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL,96500000.0,09/20/2023
"Construction of River Protection along Angat River, K008 + 210 to K008 + 360, barangay San Jose, Baliuag, Bulacan",BULACAN,CEDAR CONSTRUCTION,48999152.97,09/20/2023
"Construction of Flood Control Project in Barangay Laon, Abucay, Bataan",BATAAN,HEBREWS BUILDERS AND CONSTRUCTION CORP.,4949986.96,09/20/2023
"Construction of Retaining Wall at Candon City Sports and Convention Center, Candon City, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,28517340.06,09/20/2023
"Construction of Flood Control Structure along Abot Creek (Down Stream), Barangay Malasin, Bangui, Ilocos Norte",ILOCOS NORTE,ZEDIK BUILDERS,16169714.94,09/20/2023
"Rehabilitation of Slope Protection at Maytunas Creek, San Juan City",SAN JUAN CITY,DARCY & ANNA BUILDERS & TRADING,40203391.26,09/20/2023
"Construction of Flood Control Structure, Magdaong River, Barangay Poblacion, Muntinlupa City",MUNTINLUPA CITY,AARCON BUILDERS,48994772.98,09/20/2023
"Construction of Slope Protection Structure, DPWH Ifugao 2nd DEO, Talite, Aguinaldo, Ifugao",BENGUET,JLY CONSTRUCTION,19600000.0,09/20/2023
"Construction of Flood Control Structure along San Isidro Bridge, Brgy. San Isidro, Sta. Fe, Leyte",LEYTE,CHUCON BUILDERS CORPORATION (FORMERLY: CHU CONSTRUCTION) / MILES CONSTRUCTION AND ENTERPRISES,48965004.89,09/19/2023
"Construction of Seawall protecting Regional Mobile Force Batallion 7 at Camp Cederino Genovia, Barangay Bahay, Sibonga, Cebu",CEBU,JANUARY BUILDERS,53060000.0,09/19/2023
"Construction of Flood Mitigation Structure along Ilog-Hilabangan River (Upstream of Approach A of Ilog Br.) Phase 1, Kabankalan City, Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / M.K.U. CONSTRUCTION AND SUPPLY,89262500.0,09/19/2023
"Construction of Damaged Flood Control Structure, Brgy. Maligaya, Boac, Marinduque",MARINDUQUE,JEDIDIAH CONSTRUCTION,18550221.21,09/19/2023
"Rehabilitation of Damaged Slope Protection at Lian River (Downstream), Nasugbu and Lian, Batangas",BATANGAS,V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL,67500651.86,09/19/2023
"Construction of Flood Control Structure along Peñaranda River, Barangay San Nicolas, Gapan City, Nueva Ecija",NUEVA ECIJA,"ITP CONSTRUCTION, INC. / PAN AQUARIUS CONSTRUCTION AND DEVELOPMENT CORPORATION",96499840.4,09/19/2023
"Construction of Flood Control Structures Along Pampanga River, Brgy. Poblacion Norte, Rizal, Nueva Ecija",NUEVA ECIJA,SPECO BUILDERS INC. (FORMERLY VRF CONSTRUCTION),98996644.29,09/19/2023
"Construction of Flood Control Structure along Angat River (San Roque Section), Angat, Bulacan",BULACAN,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),47039291.85,09/19/2023
"Construction of Flood Control Structure along Angat River, Barangay Lumang Bayan Plaridel, Bulacan (K019+931 to K020+231)",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,72374590.51,09/19/2023
"Construction of Flood Mitigation Structure along Cagayan River, Brgy. Naguilian Sur, City of Ilagan, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,96169397.8,09/19/2023
"Construction of Sanchez Mira Flood Control Structure along Sanchez Mira River, Sanchez Mira, Cagayan",CAGAYAN,TJMT CONSTRUCTION / JEICCA BUILDERS,96500000.0,09/19/2023
"Construction of Retarding Basin at Brgy 129, Vitas, Tondo, Manila",CITY OF MANILA,JELSIE CONSTRUCTION & SUPPLY,41576933.09,09/19/2023
"Construction of Drainage System at Tramo 1 (From Las Piñas Boundary to Kabihasnan), Barangay San Dionisio, Parañaque City",PARAÑAQUE CITY,K84 CONSTRUCTION AND DEVELOPMENT CORPORATION,13856409.32,09/19/2023
"Construction of Flood Control Structure along Gandara River, Barangay Casab-ahan (Phase II), Gandara, Samar",SAMAR (WESTERN SAMAR),JFR CONSTRUCTION INC. (FORMERLY:JFR CONSTRUCTION),53045950.9,09/18/2023
"Construction of Pagsanga-an Flood Control, Ormoc City, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,96499998.59,09/18/2023
"Construction of Hibuga Flood Control Structure and Drainage, Hibuga River Basin, Mayorga, Leyte",LEYTE,"FAIRCHILD BUILDERS & DEVELOPERS, INC.",55482311.18,09/18/2023
"Construction of Flood Control Structure along Cansaga River, Barangay Danglag to Barangay Garing, Consolacion, Cebu, Phase 6",CEBU,"ZLREJ TRADING AND CONSTRUCTION CORPORATION / GICAR CONSTRUCTION, INC.",48900000.0,09/18/2023
"Construction of Flood Mitigation Structure, Cambangay - Hagbuyo River Control, San Miguel, Bohol",BOHOL,RL EARTH HAULING & EQUIPMENT SERVICES INC.,19599984.54,09/18/2023
"Construction of Flood Protection Measures along Cawayan River, Brgy. Gimaloto and Brgy. Barayong, Sorsogon City",SORSOGON,STEVEN CONSTRUCTION & SUPPLY,38006678.27,09/18/2023
"Construction of Camantaya Flood Control, San Agustin, Romblon",ROMBLON,EMQ DESIGN & CONSTRUCTION,48992911.21,09/18/2023
"Construction of Bucayao River Control along Brgy. Managpi, Sta. 0 + 000 - Sta. 0 + 172.48, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,E.S.L. BUILDERS & PARTS SUPPLY,38599996.6,09/18/2023
"Construction of Flood Mitigation Structure along Biñan River, Brgy. Malaban, Biñan City, Laguna",LAGUNA,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,92594196.37,09/18/2023
"Construction of Revetment (Reinforced Concrete) along Carmona River, Phase 1, Carmona, Cavite",CAVITE,AARCON BUILDERS,44099982.24,09/18/2023
"Construction of Revetment (Reinforced Concrete) along Carmona River, Phase 2, Carmona, Cavite",CAVITE,AARCON BUILDERS,44099979.64,09/18/2023
"Construction of Revetment along Lawaya River (Palahanan 2 Section), San Juan, Batangas",BATANGAS,LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D,49000000.0,09/18/2023
"Construction of Revetment along Lawaye River, San Juan, Batangas",BATANGAS,"THREE W BUILDERS, INC.",96500000.0,09/18/2023
"Construction of Line Canal, Brgy. 2, Mataas na Kahoy",BATANGAS,PRIME MOVER'S PHILS. CONSTRUCTION AND SUPPLIES INC.,4949600.0,09/18/2023
"Construction of Slope Protection Structure with Steel Sheet Pile Foundation along Tarlac Flood Control (Left Dike), Sta. Maria-San Bartolome Section (Package E), Tarlac",TARLAC,R.R. RICAFORT CONSTRUCTION AND SUPPLIES,95530140.96,09/18/2023
"Rehabilitation of Existing Dike along Rio Chico River (Lara Section, Right Bank), Package 2, La Paz, Tarlac (Sta. 0+569 to Sta. 0+819)",TARLAC,L.S.D. CONSTRUCTION & SUPPLIES,47951981.5,09/18/2023
"Upgrading of Drainage system at Brgy. Mawaque, Mawaque-Mabiga Road, Mabalacat City, Pampanga",PAMPANGA,GEOHEART CONSTRUCTION & TRADING,4929893.59,09/18/2023
"Construction of Flood Control Structure at Barangay Lalakhan, Santa Maria, Bulacan",BULACAN,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,48986913.2,09/18/2023
"Construction of Ayod Flood control Structure, Dinapigue, Isabela",ISABELA,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,49000000.0,09/18/2023
"Construction of Didekkel Creek Flood control Structure, Dinapigue, Isabela",ISABELA,ST. TIMOTHY CONSTRUCTION CORPORATION,49000000.0,09/18/2023
"Construction of Barangay Minuri Flood Control Structure, Section 3, Jones, Isabela",ISABELA,V.B. MANUBAY CONSTRUCTION,96500000.0,09/18/2023
"Construction of Pinacanauan River Flood Control Project, barangay Palutan, San Mariano, Isabela",ISABELA,CAMBERWELL CONSTRUCTION AND SUPPLIES,48504957.56,09/18/2023
"Construction of Flood Control Structure along Bislak River, Sitio Mangmanga, Brgy. Cabayo, Vintar, Ilocos Norte",ILOCOS NORTE,KATHA BUILDERS & SUPPLIES INC.,53074753.39,09/18/2023
"Installation of Booster Pump at P. Casal Bridge (Phase II) at Estero de San Miguel, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES,93353753.52,09/18/2023
"Construction of Revetment along Sinawal River, General Santos City",SOUTH COTABATO,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),88424895.91,09/17/2023
"Rehabilitation of Concrete Revetment along Malalag, Davao del Sur",DAVAO DEL SUR,TKS BUILDERS & SUPPLIES / ACC GOLDEN CONSTRUCTION SERVICES,48250000.0,09/17/2023
"Construction of Flood Control System along Lacag-Inarado River, Daraga, Albay",ALBAY,"VERZONTAL INFRASTRUCTURE CORPORATION (FORMERLY: VERZONTAL BUILDERS, INC.)",48809805.94,09/17/2023
"Construction of Patrick Flood Control (Kambingan Section), Sta. 0+000 - Sta. 0+433, Sablayan, Occidental Mindoro",OCCIDENTAL MINDORO,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,45079616.63,09/17/2023
"Construction of River Protection Structure along San Cristobal River, Barangay Bañadero (Alcalde), Calamba City, Laguna",LAGUNA,PASCAL CONSTRUCTION,42200389.0,09/17/2023
"Construction of Drainage Canal, Barangay Buenavista, Sta. Maria, Bulacan",BULACAN,PLL BUILDERS INC.,5927984.05,09/17/2023
Construction of flood control Structure at the Langka-Libtong tributaries of Meycauayan River (Left and Right),BULACAN,"L.R. TIQUI BUILDERS, INC.",67549932.15,09/17/2023
"Rehabilitation of Flood Control Wall along Meycauayan River, Barangay Tawiran to Wawang Pulo (Section I), Obando Section, Obando, Bulacan",BULACAN,G.F. FABIAN CONSTRUCTION,48249000.0,09/17/2023
"Rehabilitation of Flood Control Structure along Santa Fe River, Indiana Section, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,CITRUS COUNTRY CONSTRUCTION,39200000.0,09/17/2023
"Construction of Bonfal Proper Flood Control along Magat River, Bayombong, Nueva Vizcaya",NUEVA VIZCAYA,R.O. BUILDERS & DEVELOPMENT CORPORATION,49000000.0,09/17/2023
"Rehabilitation of Flood Control Structure along Magat River, Santa Rosa Section, Bayombong, Nueva Vizcaya",NUEVA VIZCAYA,ERIC VAN P. SESBRENO CONSTRUCTION / V.B. GINES CONSTRUCTION,47326160.0,09/17/2023
"Construction of Slope Protection at Sitio 1-6, Barangay Teppang, Bacarra, Ilocos Norte",ILOCOS NORTE,REMAR CONSTRUCTION,4898896.53,09/17/2023
"Improvement of Drainage Canal along NRJ Cumawas- Tinuy-an Falls Road, Cumawas, Sta. 0+000.00 - Sta. 2+000.00, Bislig City, Surigao del Sur",SURIGAO DEL SUR,"A.T. DUMLAO CONSTRUCTION, INC. FORMERLYANDONI T. D / MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",48999970.58,09/16/2023
"Construction of Flood Control, Brgy. Belen, Leyte, Leyte",LEYTE,EZJONES CONSTRUCTION INC. / JGO BUILDERS,190871336.42,09/16/2023
"Rehabilitation/Improvement of Iloillo Flood Control Project (IFCP), Iloilo City and Pavia, Iloilo",ILOILO,S.T. SALCEDO CONSTRUCTION CORP.(FORMERLY: SHAK CONSTRUCTION & SUPPLY),19300000.0,09/16/2023
"Rehabilitation of Drainage System, Brgy. Balagtasin I, San Jose, Batangas",BATANGAS,LUCKY EIGHTY-THREE CONSTRUCTION AND SUPPLY(FOR.VRP,5761800.0,09/16/2023
"Rehabilitation of Flood Control Structure at Barangay Bolbok, Batangas City",BATANGAS,TRISTAN TEJADA CONSTRUCTION (FORMERLY: JOMATRIS CO,41795040.0,09/16/2023
"Construction of Existing Dike along Lucung River, Cut-Cut II Section, Right Bank, Capas, Tarlac",TARLAC,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,77196575.9,09/16/2023
"Construction of Slope Protection, Sapang Matwa Creek, Sitio Dampalit, Brgy. Sta. Monica, Lubao, Pampanga",PAMPANGA,RADIANS BUILDERS AND SUPPLY CORPORATION,17813873.03,09/16/2023
"Construction of Slope Protection along Porac River, Brgy. Poblacion Section, Floridablanca",PAMPANGA,R.M. VITUG CONSTRUCTION,29692996.3,09/16/2023
"Construction of Flood Mitigation Structure, Brgy. San Jose, Calumpit, Bulacan",BULACAN,SYMS CONSTRUCTION TRADING,24499119.13,09/16/2023
"Rehabilitation and Road Slope Protection Structures along Bislig-Trento Road, K1508+510 -K1508+750",SURIGAO DEL SUR,HGG BUILDERS & SUPPLY,96399243.69,09/15/2023
